LOCATION,Country,TIME,GDP (PPP),Basic research,Applied research,Experimental development,Medical and health sciences
GTM,Guatemala,2010,1.26206878E11,3553.8985399999997,36694.72479,1618.03511,15602.481409999999
GTM,Guatemala,2011,1.26206878E11,4109.12688,40870.64456,4274.59508,16932.912119999997
GTM,Guatemala,2012,1.26206878E11,3098.84843,43818.804110000005,1060.13236,16200.99705
HRV,Croatia,2007,9.4641693E10,228248.18576999998,213057.47459,218379.39041,49163.13498
HRV,Croatia,2008,9.4641693E10,274505.91383000003,317140.83986,202173.73465,130409.67684000001
HRV,Croatia,2009,9.4641693E10,290382.95665,229292.80511999998,208379.80838,81966.40898
HRV,Croatia,2010,9.4641693E10,228704.77141999998,230307.05907,172825.15128,45893.19101
HRV,Croatia,2011,9.4641693E10,239564.06011999998,246165.29181999998,181076.05998,89928.85771
HRV,Croatia,2012,9.4641693E10,247723.02264,244125.16851999998,185572.63767999999,109027.28833
HRV,Croatia,2013,9.4641693E10,249789.26599,255292.5383,247465.2764,120630.48585
HRV,Croatia,2014,9.4641693E10,257629.51442,254727.06415999998,224359.23427,140391.47904
HUN,Hungary,2007,2.6042273E11,407416.18682,680660.25895,702406.38367,155685.09094000002
HUN,Hungary,2008,2.6042273E11,448097.71326000005,717011.9114600001,827633.34369,150823.60565
HUN,Hungary,2009,2.6042273E11,522716.83092,813270.67192,968202.2971200001,159102.28826
HUN,Hungary,2010,2.6042273E11,537837.3581600001,778949.81745,1099003.09253,182683.33722000002
HUN,Hungary,2011,2.6042273E11,566689.94574,908887.3524,1188203.25468,201411.68591
HUN,Hungary,2012,2.6042273E11,570380.05149,1021737.0926,1258918.62619,244770.07538000002
HUN,Hungary,2013,2.6042273E11,655619.02873,1032270.67876,1633369.11046,243828.2701
HUN,Hungary,2014,2.6042273E11,634554.09791,1002655.1977700001,1747912.2102299999,206010.39402
IRQ,Iraq,2007,5.6072975E11,9322.947320000001,111567.01049000002,12675.98588,2216.83908
IRQ,Iraq,2008,5.6072975E11,13420.954,88154.431,4316.9865,1329.4751800000001
IRQ,Iraq,2009,5.6072975E11,19423.73686,112219.07327000001,20706.84767,6535.4200200000005
IRQ,Iraq,2010,5.6072975E11,17244.60756,97008.30874,13550.179219999998,8112.60512
IRQ,Iraq,2011,5.6072975E11,18810.45552,99184.68985,16518.19745,8597.90376
IRQ,Iraq,2014,5.6072975E11,52137.38423,140296.11842,13805.318630000002,56508.31291
IRQ,Iraq,2015,5.6072975E11,131175.57199,72101.83399,5360.04381,126936.0004
ISL,Iceland,2009,1.57855775E10,58034.64023,123162.64055999999,165521.70341,16761.91072
KAZ,Kazakhstan,2011,4.39390503E11,99875.64199999999,277414.32177,163451.23862000002,28268.4327
KAZ,Kazakhstan,2013,4.39390503E11,204717.40863,375411.06272,113698.26830999998,38818.29477
KAZ,Kazakhstan,2014,4.39390503E11,165223.12912,415689.25396999996,137414.73192,30261.729030000002
KAZ,Kazakhstan,2015,4.39390503E11,170222.95856,397206.24829,177383.82664,29397.92666
KEN,Kenya,2010,1.42239908E11,453152.02143,194198.96658,140838.55953,216530.58177
KHM,Cambodia,2015,5.4373396E10,8707.06932,42566.48418,13014.59453,12432.61252
KOR,South Korea,2007,1.75373248E12,6386199.59086,8063862.29026,2.619020989224E7,3646269.5318400003
KOR,South Korea,2008,1.75373248E12,7047173.89875,8621248.83842,2.823799005385E7,4491880.90775
KOR,South Korea,2009,1.75373248E12,8304338.33032,9183611.74325,2.849930225138E7,4861370.17175
KOR,South Korea,2010,1.75373248E12,9506675.90848,1.0400885167030001E7,3.226521754572E7,5648744.58823
KOR,South Korea,2011,1.75373248E12,1.05468779754E7,1.183794495242E7,3.599483122186E7,6345400.83933
KOR,South Korea,2012,1.75373248E12,1.187678411652E7,1.236730609608E7,4.061839835823E7,7317152.85646
KOR,South Korea,2013,1.75373248E12,1.22966282571E7,1.304615321502E7,4.302565785293E7,8049649.4045899995
KOR,South Korea,2014,1.75373248E12,1.291530787256E7,1.3852597694820002E7,4.644877455954E7,8648135.567610001
KOR,South Korea,2015,1.75373248E12,1.278417671094E7,1.546586994731E7,4.5967666415640004E7,3614819.2072300003
LKA,Sri Lanka,2008,2.46618391E11,53048.373869999996,67891.58468,48418.258389999995,29360.97146
LKA,Sri Lanka,2010,2.46618391E11,25181.29185,113227.7779,92619.06482999999,13122.937890000001
LKA,Sri Lanka,2013,2.46618391E11,21813.03728,125487.09795,72583.62113,20564.226169999998
LTU,Lithuania,2007,8.4057072E10,152365.12659,183305.83059,158331.1094,36352.35377
LTU,Lithuania,2008,8.4057072E10,176536.06705,203508.94054,143039.62565,48071.4922
LTU,Lithuania,2009,8.4057072E10,166489.37456,170813.02596,139367.90072,46950.11881
LTU,Lithuania,2010,8.4057072E10,164027.12979,176784.573,147663.79027,45806.67313
LTU,Lithuania,2011,8.4057072E10,238466.69561,219817.39981,167266.12713,55498.69342
LTU,Lithuania,2012,8.4057072E10,209094.96790999998,293039.58999,157013.42505,50289.8936
LTU,Lithuania,2013,8.4057072E10,231723.73546,342552.25328,176213.52795999998,74801.5172
LTU,Lithuania,2014,8.4057072E10,234022.80370999998,388256.94542,228715.7545,73957.68282999999
LVA,Latvia,2007,4.9238811E10,52416.51417,117431.48879,50976.2867,19887.84705
LVA,Latvia,2008,4.9238811E10,79606.73657000001,102845.71122000001,63536.65982000001,23734.16028
LVA,Latvia,2009,4.9238811E10,45653.139460000006,76543.26555,41553.156310000006,15308.65311
LVA,Latvia,2010,4.9238811E10,70836.81812000001,82544.21,72007.35158999999,16683.70201
LVA,Latvia,2011,4.9238811E10,83345.23342,140716.79585,59654.388929999994,31397.89144
MLT,Malta,2007,1.46816358E10,22213.73822,18418.57633,7657.121440000001,9557.33914
MLT,Malta,2008,1.46816358E10,23598.79652,18071.765219999997,9670.11776,9526.6494
MLT,Malta,2009,1.46816358E10,23611.18758,16342.690340000001,10289.12575,9118.14869
MLT,Malta,2010,1.46816358E10,31337.843189999996,18636.102759999998,13447.25454,15587.54505
